txn_reference,sender_mobile,receiver_mobile,transfer_amount,initiated_at
APP310711109,6851031881,7822772661,337723.5,1719078895
APP222488390,6851031881,6521155209,384451.4,1719078898
APP670002496,7867190998,6851031881,488212.09,1719078932
APP312723092,7014631140,6142783420,169738.68,1719078945
APP441423824,6142783420,6521155209,174624.02,1719079001
APP916622121,7255099684,7675700516,272796.45,1707729389
APP633831410,6279623837,7474995468,277074.72,1707729430
APP451200243,7675700516,9628911648,51339.6,1707729440
APP968012421,9867718103,7255099684,443720.16,1707729449
APP766706582,7677927664,8485780615,426169.2,1707729481
APP183361471,9628911648,7677927664,180714.02,1707729547
APP647236457,6780778941,7677927664,496851.72,1707729561
APP587232801,6279623837,6780778941,213269.66,1707729586
APP334148572,9628911648,8485780615,468748.49,1707729658
APP290307378,7914310018,9530403519,378394.92,1717330640
APP298353638,8418282614,7671187564,285851.55,1717330656
APP368640416,7671187564,8418282614,292289.01,1717330675
APP881265360,9530403519,8726771168,454921.56,1717330703
APP741811915,8418282614,9530403519,170786.36,1717330716
APP989554250,7671187564,7914310018,369453.33,1717330746
APP781308990,9884042563,9575953225,27516.58,1717330752
APP260005634,7671187564,9884042563,13770.27,1717330760
APP746253206,9575953225,6756831148,355683.82,1717330794
APP860288595,7671187564,6149726408,276467.01,1717330875
APP286007420,9884042563,7671187564,365868.56,1717330881
APP614881759,8517189720,8363540919,149978.13,1725675289
APP334319035,9552518084,9176256886,451935.22,1725675293
APP240357114,8363540919,6055000672,146933.21,1725675296
APP698485486,6822792702,9176256886,318458.27,1725675418
APP122059086,8517189720,6315941973,40223.42,1725675464
APP264088214,6822792702,8517189720,232120.51,1725675484
APP823285550,9176256886,6822792702,421126.94,1725675493
APP995508369,9176256886,6055000672,2701.57,1725675501
APP285744440,8546966150,6315941973,463015.37,1725675517
APP844143924,8517189720,6315941973,414278.8,1725675520
APP135351268,8510626456,8363540919,326426.53,1725675524
APP554875422,7725911715,7344527948,274664.86,1708887960
APP244540645,6076840789,6932116586,226240.27,1708888054
APP519231961,7725911715,6897133681,31283.27,1708888059
APP737187955,6076840789,6932116586,291442.88,1708888059
APP396497589,6932116586,8898251356,253359.86,1708888095
APP252918052,6932116586,9194763105,370262.43,1708888166
APP566232263,7453050200,8448075884,208679.96,1709820318
APP131550958,8448075884,7503863105,395003.6,1709820370
APP932986730,8893506529,7705020399,120109.5,1709820511
APP848966577,7198764927,9655260569,388306.88,1705195657
APP675816443,6645707285,6893598896,70232.23,1705195717
APP290647244,8739971475,8288891643,98291.52,1705195771
APP613903503,8143814306,8514350267,38446.74,1705195782
APP750701817,7292405363,9399419376,69804.01,1733670154
APP614777707,6464491684,9399419376,463783.3,1733670155
APP445602022,7292405363,7716732768,144284.66,1733670209
APP502158562,6880752577,6090183825,310850.83,1733670237
APP890105591,6408321680,7532368101,143253.36,1733670316
APP885460794,7292405363,6090183825,56547.62,1733670355
APP452721265,7533232646,6144356763,167797.5,1726972208
APP186673440,6729822676,6723940638,470565.16,1726972314
APP569984504,6723940638,6729822676,125957.84,1726972375
APP642933495,8448432608,6144356763,478949.67,1726972392
APP891045182,6723940638,6534354600,253777.34,1726972423
APP842064252,6723940638,9798635051,207830.97,1726972450
APP675259353,6534354600,6729822676,429894.81,1726972490
APP989437203,6670222435,9573552303,14202.57,1712232485
APP121716663,6670222435,9573552303,182581.58,1712232548
APP857268372,8008504061,9621831672,98743.09,1712232560
APP611389447,9638850056,9346327229,253074.67,1712232584
APP989774541,8008504061,6064339153,318534.64,1712232586
APP472341523,6140582510,8008504061,456920.35,1712232606
APP361872796,9346327229,6970222791,215352.17,1712232608
APP118673644,9638850056,9346327229,243353.74,1712232609
APP928533494,6140582510,6970222791,84963.74,1712232636
APP465229742,6970222791,9621831672,38145.52,1712232638
APP945283218,6064339153,6670222435,86982.18,1712232661
APP675464073,6970222791,6064339153,422415.76,1712232712
APP840881276,6044971897,9638850056,60741.53,1712232720
APP492327618,9778863280,6905961702,461840.33,1713892987
APP823820868,8663811337,6386599882,497968.86,1713892992
APP443496345,7783811063,8663811337,56925.64,1713892995
APP518879176,7783811063,6386599882,151929.75,1713893016
APP996766040,9778863280,7850414217,352831.47,1713893064
APP337156331,8663811337,6386599882,156701.35,1713893197
APP962215636,6789994055,6104352936,283249.22,1734207679
APP304728228,6789994055,8540842599,9406.19,1734207772
APP479610770,9531472229,8540842599,414136.44,1734207903
APP720956906,7501595919,7761139298,147141.2,1734207932
APP365479098,9531472229,7761139298,362451.24,1734207933
APP356767576,9531472229,8540842599,245087.43,1734207938
APP250037014,6310866413,8149531918,2889.08,1729096467
APP656822049,6293696898,7166736932,286514.07,1729096542
APP601519538,7506609039,6684802523,347534.47,1729096563
APP955976411,7022624853,8475211686,111618.58,1729096705
APP936707820,9910175482,6190924457,110274.49,1730551035
APP286963642,9602357788,9910175482,72958.51,1730551042
APP807990232,9602357788,6190924457,60972.05,1730551070
APP742918977,7966404826,8408745905,158073.53,1730551075
APP904025809,7071547054,8408745905,201031.39,1730551107
APP694437789,7966404826,8408745905,130625.88,1730551139
APP186261364,7966404826,9602357788,163688.87,1730551216
APP898952557,9508094041,9910175482,446726.74,1730551251
APP657294228,9508094041,9602357788,380564.08,1730551255
APP907430333,7966404826,8408745905,42288.61,1730551264
APP957952152,6809279950,8251041587,200146.51,1720695500
APP742509670,7456275316,6789887297,395221.87,1720695529
APP487881561,6789887297,7456275316,81796.8,1720695568
APP500042641,9448593087,7855196508,488112.75,1720695609
APP398553889,9447730618,7584943265,108347.39,1720695625
APP795812034,7584943265,7456275316,162032.03,1720695654
APP593225345,7211129373,8251041587,50313.22,1720695657
APP906873464,7456275316,7620049350,308963.63,1720695674
APP118901427,7584943265,9447730618,315808.72,1720695711
APP115311820,8251041587,7456275316,346045.23,1720695720
APP702901996,7456275316,6809279950,223094.95,1720695727
APP309056521,7456275316,8858375711,18064.37,1720695745
APP362265841,8429995116,8537427612,348986.26,1722738595
APP447712881,8639409637,7796285419,467903.32,1722738625
APP704263649,8537427612,8639409637,257157.3,1722738682
APP608098172,8280787570,7480106305,159666.03,1727045282
APP729928759,6317292908,8874599860,352340.53,1727045314
APP886332198,8701020569,6317292908,407364.86,1727045356
APP845568759,8874599860,7315350120,391657.44,1727045397
APP848202588,8117933802,6838246967,13183.69,1718522489
APP676271537,8144084863,8019324495,411441.26,1718522586
APP309321461,6838246967,8117933802,331205.97,1718522609
APP491280597,8144084863,7971753475,344581.48,1718522629
APP593742454,6627695464,9988744342,75860.88,1718522636
APP770273246,8727131955,9989556187,299802.92,1710639194
APP637857942,9989556187,8083054872,492821.9,1710639216
APP597333593,9785513112,9989556187,118454.95,1710639240
APP713891472,8083054872,8727131955,37626.95,1710639262
APP399794365,8727131955,8083054872,292544.51,1710639426
APP603784886,9536989145,9989556187,359143.35,1710639437
APP203364444,6300536627,7827944953,170413.26,1714681047
APP346215856,7746449791,7145755633,401454.09,1714681203
APP530510952,7489189984,6610900200,396160.59,1732642345
APP376646194,6268299291,6238442194,457626.88,1732642380
APP837587359,8982504021,9728098673,463358.85,1732642495
APP929402219,6238442194,8982504021,117062.33,1732642547
APP431368624,6188868011,6433902419,93998.72,1711418654
APP357811023,9884483495,7441326874,446700.35,1711418712
APP426764815,6188868011,7267104673,176387.62,1711418713
APP719918385,8038715372,6433902419,188482.04,1711418762
APP862536713,7411157880,9004125671,192179.14,1711341445
APP306829619,9885816849,6944771568,11581.91,1711341455
APP816530083,9004125671,6944771568,37390.81,1711341479
APP532092714,9986496426,6094863941,263063.79,1711341530
APP511193575,6094863941,8241309425,91916.8,1711341544
APP474343894,9004125671,7411157880,91169.15,1711341550
APP571973436,9986496426,6944771568,132070.68,1711341613
APP422686472,9986496426,9004125671,331197.4,1711341614
APP484516538,7411157880,8241309425,182762.35,1711341632
APP559724055,9885816849,6094863941,70437.38,1711341674
APP359237597,6735540141,7495102339,15949.79,1713053210
APP854347573,7495102339,6735540141,242966.08,1713053236
APP724435888,9379489316,6735540141,217298.64,1713053252
APP261261597,6298024473,9538621393,410993.88,1713053348
APP299210399,9379489316,9538621393,2581.98,1713053359
APP223346914,9538621393,9379489316,414721.26,1713053382
APP782811422,6394574741,6250759750,351361.57,1733496669
APP535405923,6588041635,6394574741,294796.56,1733496671
APP512120149,8380107594,8845381029,238701.06,1733496699
APP671397771,6250759750,6484345290,119113.85,1733496705
APP170611851,6250759750,8886076713,408023.61,1733496772
APP281773399,7816001257,8886076713,331211.93,1733496876
APP739768170,6498894130,8127419084,240681.75,1714869573
APP806706145,6498894130,8307454236,144549.68,1714869599
APP810726149,9592604004,6399930661,442943.28,1713015050
APP730610078,8047402547,9592604004,396843.06,1713015054
APP450094189,8650463579,8047402547,145738.2,1713015165
APP782692770,9592604004,6624625610,42449.48,1713015204
APP407093385,6399930661,9936319701,84626.7,1713015237
APP175841266,9101433477,8031523723,347632.9,1713015256
APP313977642,6624625610,6399930661,6109.39,1713015285
APP858316658,8812808201,6837662966,168135.54,1712793244
APP128719991,8030189947,7423431125,353790.43,1712793244
APP323649344,7423431125,8517124169,245710.03,1712793408
APP108433061,8812808201,6555370556,364465.05,1712793421
APP924421973,6555370556,7159492090,184949.31,1712793434
APP361729428,7289979533,8812808201,398473.56,1712793464
APP204027965,6555370556,7423431125,309934.23,1712793518
APP791786520,7159492090,7289979533,114485.06,1712793537
APP482603381,9483382793,9877432488,325299.68,1730069867
APP447404029,9877432488,6866406208,136411.31,1730069883
APP674763057,6219782427,6759224725,388857.85,1730069934
APP757098908,7508486193,8191701735,331612.2,1730069991
APP165119127,6219782427,6923875250,75848.85,1730069998
APP181934094,9483382793,6322451971,490302.23,1730070007
APP921407250,6923875250,6866406208,137438.43,1730070058
APP117894632,9483382793,6759224725,253565.81,1730070104
APP986503653,7334421380,8789972965,355505.86,1713889575
APP858598012,8433808024,7334421380,360333.45,1713889612
APP551754363,8789972965,8433808024,226969.64,1713889652
APP115764323,9553826456,8748939995,122849.85,1713889654
APP500355617,7334421380,8789972965,36054.84,1713889673
APP567315080,9553826456,7334421380,111073.03,1713889710
APP492115387,9553826456,8789972965,83913.91,1713889718
APP996877484,6623041645,6930180380,128070.34,1713889732
APP588116560,8789972965,7334421380,92964.34,1713889782
APP328238074,6623041645,7334421380,231231.95,1713889805
APP789735935,6940186551,6922891951,111854.39,1731150628
APP438245642,6305861963,6922891951,458243.08,1731150669
APP989175042,6922891951,7349657765,247608.3,1731150716
APP202434904,6305861963,8522059826,297913.04,1731150810
APP986245226,9112988130,8706086602,38231.52,1724203393
APP809810413,7700292594,9445196125,372526.22,1724203416
APP909404616,8706086602,9112988130,71615.71,1724203417
APP803285688,9112988130,6465611617,162996.06,1724203424
APP352179326,7700292594,8706086602,423064.07,1724203474
APP406375539,8706086602,6465611617,87499.12,1724203504
APP826706106,7217053158,8706086602,499106.06,1724203545
APP737222016,8706086602,8129333899,234449.17,1724203554
APP961818893,7982903565,9729765137,138959.23,1731800479
APP494235256,7876078197,9729765137,270378.5,1731800611
APP864871644,9729765137,7982903565,130436.74,1731800631
APP247764716,9729765137,8884390866,124347.52,1731800650
APP473447747,8888554537,8332571782,108087.88,1732575254
APP443307346,8888554537,9990821814,284009.52,1732575291
APP243330800,8482099234,6625853681,36303.06,1732575348
APP437727234,6799134821,9990821814,333766.49,1732575350
APP290550576,6799134821,9462261376,270750.45,1732575375
APP289118133,6625853681,8350260482,15936.77,1732575388
APP665472675,9447029111,9831374004,340804.6,1716572324
APP858201720,8258164118,9447029111,85809.85,1716572331
APP556830826,9447029111,6747910972,309309.28,1716572351
APP608583395,8258164118,6747910972,400647.12,1716572396
APP138053000,6747910972,9831374004,216643.92,1716572419
APP367067707,6747910972,8258164118,191708.4,1716572423
APP781370461,7590187537,8523613271,278233.71,1716572477
APP783552300,8258164118,9794416275,357723.45,1716572505
APP872331562,9447029111,9831374004,380830.21,1716572513
APP155746703,6747910972,9831374004,275721.68,1716572522
APP452304670,7223598690,8258164118,190856.04,1716572530
APP708829449,6526158934,8760133832,55595.6,1730700069
APP884414724,6526158934,9918465858,200471.8,1730700135
APP693463964,6526158934,6128073183,474126.85,1730700136
APP393148371,6819381330,6107896466,327053.9,1730700276
APP457882284,8147956924,7499720804,229605.74,1730700285
APP824445942,7710972627,9847275172,422430.34,1730700294
APP143158169,6819381330,8760133832,413067.36,1730700300
APP484249901,7336853844,8970627115,405480.47,1704402412
APP611674641,9600747861,7268269765,409317.44,1704402416
APP180686298,7336853844,6963054681,38066.71,1704402454
APP853209591,7268269765,8801352620,34481.31,1704402485
APP483864297,6519600230,6509342654,252687.36,1704402510
APP299377189,7268269765,9600747861,381437.44,1704402559
APP301334688,9576043566,6926231408,440452.41,1704976041
APP992363246,9576043566,8669035731,199980.42,1704976043
APP824764231,8669035731,6926231408,115984.91,1704976053
APP871278405,8425905225,7013312883,191761.07,1704976058
APP863531329,6782911180,6926231408,356945.93,1704976082
APP434257971,6782911180,9576043566,155762.98,1704976189
APP154041645,6350352816,6926231408,385813.19,1704976220
APP347782608,7763515620,7484883545,278208.48,1731553154
APP970152630,9868083013,9525585637,189953.55,1731553204
APP985718874,7175108721,7113611784,301388.51,1731553252
APP712410967,7113611784,7175108721,254051.98,1731553323
APP663552712,8347636014,7997371161,373168.59,1731553339
APP699806659,9382091438,9758699358,366334.47,1711307242
APP254348582,8168106264,9382091438,411559.65,1711307304
APP145463415,8023225896,8168106264,271103.01,1711307343
APP295382267,7344593028,8023225896,85618.42,1711307348
APP838537160,7344593028,8168106264,52921.94,1711307392
APP573557914,7344593028,9758699358,479454.51,1711307444
APP676465630,9758699358,8168106264,197979.72,1711307481
APP207198966,7268649696,6874850478,399417.07,1712334043
APP639822063,9103822243,9549253862,345386.06,1712334060
APP404208382,6916663580,6874850478,479074.99,1712334108
APP168675663,7268649696,6874850478,290097.49,1712334159
APP884304061,9549253862,9973046769,422407.94,1712334218
APP316275430,8516210604,9542172366,374378.56,1716915212
APP694293249,6643828381,8516210604,388951.92,1716915237
APP705158480,8335245731,6715136087,356155.27,1716915323
APP665852372,8335245731,6715136087,239405.58,1716915347
APP331876608,6675810849,6117797798,339176.17,1731148807
APP514283613,9465676206,9277633423,4842.06,1731148809
APP778062791,8897895650,8395409775,12161.44,1731148868
APP488044398,7153542634,7410657318,136092.2,1731148895
APP405096332,9465676206,8244221356,443906.43,1731148918
APP797097046,6117797798,8659986774,170881.9,1731148983
APP145276359,6474747270,9701194824,123746.74,1731149024
APP563603544,6640878147,7633658697,370729.45,1731729782
APP889940037,7307027674,7741691870,288807.33,1731729789
APP725959117,7458165060,6640878147,40345.67,1731729793
APP230058836,6035587661,7307027674,334536.27,1731729809
APP500915096,9312724780,8523492753,1222.74,1731729863
APP813747171,6655845401,8855109472,338174.88,1731729906
APP554169726,7307027674,7078932489,237248.68,1731729912
APP388601891,7826512229,8523492753,17695.26,1731730043
APP936959302,8629794700,6640878147,482612.41,1731730060
APP274037957,7826512229,6655845401,111747.83,1731730068
APP722347468,9886132218,9308336416,469418.42,1720041217
APP937062487,8226285333,9547923302,172797.59,1720041264
APP319808530,9255356979,8892783200,250048.65,1720041285
APP458560877,9255356979,8226285333,58795.63,1720041333
APP824129463,8226285333,8892783200,227139.88,1720041337
APP626325850,7887474041,6751263364,424386.56,1720041360
APP109853003,8226285333,8892783200,77996.64,1720041374
APP120016748,9886132218,8226285333,287861.26,1720041389
APP109381806,6708898279,9547923302,70410.19,1720041408
APP869882868,8846398577,6385705498,201007.26,1710909400
APP257071875,8439125351,6378440694,60535.81,1710909413
APP880978619,8439125351,6503824608,398663.57,1710909514
APP303352293,9055153676,8846398577,357079.09,1710909521
APP242060705,8846398577,7727776083,412818.53,1710909529
APP975449168,6248038897,8846398577,265374.53,1710909538
APP213669929,9055153676,6248038897,184447.23,1710909619
APP731056357,6248038897,6378440694,134722.17,1710909654
APP868984533,7708883503,7382093297,417097.85,1730009467
APP519972397,9899770647,6040538335,368330.44,1730009476
APP480290106,8339486043,7635167382,302104.87,1730009535
APP648299699,8016189828,7635167382,439504.59,1730009632
APP543236918,7635167382,8112573949,260036.97,1730009641
APP438464218,7577411910,8224759091,426232.1,1735020004
APP837828626,7577411910,7387978451,53019.67,1735020053
APP572264191,7387978451,8224759091,52234.66,1735020173
APP574562056,7387978451,7620788356,347584.44,1735020176
APP470538895,7577411910,8622017131,134390.93,1735020193
APP157015828,7107321436,8618635676,291518.41,1729956728
APP323664602,6618255966,8618635676,215970.03,1729956731
APP879031712,9215802902,6724878002,238213.76,1729956761
APP904862280,7107321436,9215802902,158241.44,1729956788
APP623451067,6618255966,7878029643,141732.67,1729956793
APP712554577,6422413207,9590676367,75341.5,1729956841
APP710610855,6659263712,9590676367,169751.68,1729956844
APP259314184,9590676367,9855062350,261357.38,1729956911
APP882266176,7878029643,9855062350,18882.02,1729956951
APP736472134,9215802902,8618635676,313306.9,1729956954
APP520628318,9272257446,9399628687,90299.78,1724715263
APP457694337,6481689825,7417512123,428137.01,1724715325
APP142906647,6886236492,7849392801,106915.88,1724715412
APP934575329,7217998944,9991401169,349309.67,1724715440
APP219574855,9991401169,6151341586,173215.86,1724715459
APP672063189,9272257446,9399628687,147916.72,1724715476
APP636361277,9991401169,7849392801,226661.19,1724715500
APP984983617,6099363053,7202651115,302556.61,1721649916
APP946183182,7922212953,7202651115,245589.94,1721650072
APP817712883,8460857259,8501995376,475692.82,1721650080
APP405995090,8501995376,6099363053,330388.78,1721650135
APP506447996,6855438600,8307617069,356104.12,1721650140
APP874672447,7202651115,6099363053,152701.0,1721650170
APP656371077,9018108785,8612349999,229775.9,1729303381
APP431549804,6151742240,6955085684,61653.63,1729303390
APP578218980,7141908776,6955085684,36475.73,1729303400
APP766138739,7141908776,6124964260,129210.49,1729303437
APP707487717,6151742240,8612349999,464548.37,1729303447
APP929879806,6955085684,8040840983,343754.84,1729303459
APP657836884,6955085684,6124964260,85542.95,1729303459
APP469919285,9018108785,8040840983,359958.6,1729303464
APP624080966,9561167611,8612349999,178781.3,1729303478
APP727648053,8612349999,7141908776,407637.17,1729303480
APP384497681,8251972402,8040840983,84676.21,1729303485
APP293490937,8612349999,6955085684,277500.15,1729303501
APP154801951,8040840983,8251972402,421232.11,1729303558
APP583977803,6049737022,6839417702,310969.03,1710244082
APP571105775,6839417702,6193819881,394024.16,1710244098
APP898566916,6839417702,6572134311,237480.15,1710244205
APP491671149,6193819881,7616044841,66205.63,1710244231
APP808611947,8651019516,6193819881,211116.15,1710244242
APP281957348,7225821708,6193819881,439892.04,1710244246
APP291506320,6289447338,6049737022,173659.62,1710244269
APP983439957,7616044841,7505230701,289946.6,1710244280
APP550553643,6049737022,7616044841,308804.41,1710244307
APP968992907,6839417702,6289447338,41376.11,1710244317
APP155295977,6289447338,6839417702,98394.9,1710244329
APP443919755,7616044841,6289447338,121154.89,1710244367
APP282524170,7616044841,7225821708,209681.34,1710244369
APP891669864,7063039414,9945492657,199825.7,1725585502
APP164247300,6521081107,9945492657,482305.42,1725585577
APP972447125,6521081107,9945492657,159559.73,1725585596
APP406013745,8063787061,6652911275,63312.79,1725585623
APP208584479,9440702586,7069184055,221830.1,1725585641
APP853861017,7486108886,7695781605,270583.22,1725585692
APP298636397,8666333248,9997061612,250788.23,1710281687
APP381547709,9997061612,8666333248,246282.53,1710281735
APP965211340,9997061612,7255610745,97159.48,1710281755
APP658822325,7677849001,7255610745,135877.91,1710281819
APP127893192,8574230772,9962829049,4876.79,1710281843
APP771506445,8666333248,7255610745,118634.48,1710281876
APP284636348,9962829049,7677849001,255889.12,1710281904
APP537065804,9962829049,8574230772,206992.07,1710281929
APP483610985,6375930626,8532764887,326388.12,1704768960
APP581681576,7479141268,6711372774,457888.5,1704768984
APP818342437,9380209301,7535841070,492550.58,1704769076
APP174831263,6375930626,6711372774,74534.34,1704769076
APP326318989,8380755625,7479141268,212860.46,1704769077
APP435496348,7479141268,9380209301,463985.56,1704769086
APP665090907,6375930626,6711372774,419493.31,1704769164
APP261645246,7535841070,8380755625,254493.83,1704769242
APP531069276,6781683429,8455403522,405562.4,1717257290
APP492886025,6566462050,7135527116,409840.2,1717257315
APP849887781,8161836661,6827122866,426990.9,1717257394
APP494324571,6827122866,8161836661,185509.51,1717257473
APP593247064,7345390005,7135527116,188527.42,1717257477
APP122191641,7181553044,8182732917,316119.6,1708346676
APP360178550,8182732917,8457696443,371398.3,1708346694
APP570420927,7313594872,8798444660,164322.59,1708346709
APP261065256,8457696443,8585105926,229846.56,1708346816
APP981547376,6724990435,7181553044,23293.37,1708346858
APP807923810,8200092193,8585105926,360138.38,1708346870
APP685436745,7181553044,7852193802,483879.5,1708346871
APP471356530,8182732917,6724990435,287342.38,1708346887
APP369414581,8454318650,6976183410,177997.65,1705210751
APP519049955,6658870008,6526663773,347890.34,1705210752
APP271229498,6658870008,7307586961,247324.74,1705210815
APP775581740,6599310825,8904785053,134895.81,1705210932
APP449415100,9212302654,6976183410,295439.53,1705210934
APP543433344,7242782276,8972869657,304094.08,1705210963
APP232519977,8972869657,6526663773,7523.52,1705210999
APP122217632,9126123744,7098482781,212969.38,1706401004
APP901806563,7098482781,6068127472,283801.95,1706401032
APP462651233,6068127472,9126123744,419288.19,1706401060
APP181510154,9430316394,6068127472,85341.08,1706401106
APP841964417,6627715262,9619120291,446350.14,1706401113
APP503737065,7825303429,6068127472,411495.81,1706401142
APP425065806,9126123744,9619120291,304926.03,1706401161
APP804873836,6627715262,9430316394,242013.71,1706401177
APP235759085,9430316394,6627715262,498395.19,1706401257
APP534473595,7274320614,8329940478,40914.05,1716441190
APP273591006,9168788623,8118649911,398277.0,1716441207
APP910873373,8329940478,7525731062,126716.15,1716441308
APP304784867,6335607870,7050507224,403178.06,1716441388
APP605879735,6902473868,9573220063,220545.18,1716441405
APP371669275,7011103328,9703439260,469937.09,1726257091
APP351603288,9020330973,9452703094,253906.39,1726257095
APP734158697,8861521616,6319428890,347858.91,1726257132
APP238032878,9452703094,6210425579,344822.21,1726257245
APP313231786,8109158695,9986024489,188356.65,1718566057
APP807844945,7468141139,6673166402,98490.23,1718566100
APP589917070,9986024489,9445873327,73582.48,1718566128
APP178005779,9561892648,6827913802,483665.91,1718566197
APP792197504,7468141139,9986024489,442820.44,1718566251
APP377741879,9389441789,9561892648,241479.7,1718566300
APP343993900,7147358065,8956811885,270408.45,1717483483
APP718879893,7874131908,7740820933,488364.77,1717483485
APP967040847,7714616464,6631400809,298051.88,1717483527
APP310872188,9853613801,8956811885,305502.73,1717483617
APP268848438,6290719339,7531262394,26396.82,1721931088
APP299010179,8754970367,7541702713,23289.91,1721931130
APP450020858,6127986286,6290719339,252325.92,1721931148
APP210462124,6127986286,8632728097,438775.18,1721931330
APP941024008,8754970367,8632728097,87653.11,1721931343
APP458976110,7381898950,8140628184,321896.81,1727827201
APP150131145,7381898950,9508057603,102302.68,1727827220
APP631411487,8140628184,9203590487,495591.29,1727827237
APP351167554,8613643693,9576018348,157625.69,1727827251
APP994135196,8830828000,9910253536,28118.28,1727827267
APP169966908,8830828000,8577363576,8944.68,1727827279
APP667579968,9508057603,6086468462,245598.77,1727827327
APP870385361,6086468462,6438033244,163537.85,1727827329
APP533126406,7381898950,7130230969,231772.27,1727827334
APP522207311,9508057603,9819886259,10286.8,1727827359
APP269721716,8830828000,9239398320,223339.74,1727827373
APP223023616,9203590487,8830828000,192813.02,1727827391
APP579306449,7130230969,7381898950,460280.14,1727827394
APP946704026,9576018348,9203590487,10781.97,1727827438
APP420416418,6054599257,7232713109,237246.27,1716594963
APP934477644,6700033572,9015921827,83700.91,1716595000
APP221428810,9006638929,8010105847,376843.78,1716595014
APP950321609,9006638929,8667889179,223120.72,1716595035
APP402834107,9006638929,8451522903,425458.13,1716595211
APP985827552,7701577096,6277409421,196862.25,1708877459
APP706945187,7392348038,8492348132,387603.53,1708877468
APP967827875,9355003973,9211032775,407911.32,1708877479
APP849587647,8492348132,8060138651,436965.72,1708877510
APP685529227,8206741109,7392348038,58801.31,1708877515
APP933470340,7701577096,8492348132,9369.42,1708877546
APP494764536,8492348132,8096121198,364427.97,1708877573
APP734030208,8096121198,8206741109,496352.31,1708877609
APP475815730,6277409421,9211032775,145317.38,1708877628
APP566701831,7701577096,9819202537,155988.69,1708877690
APP249787512,9430367080,8769840521,248706.55,1730928489
APP507103795,7434319668,7727010831,114591.79,1730928501
APP659806972,7434319668,9107736331,245257.4,1730928544
APP133757511,9603938186,9430367080,44262.16,1730928557
APP102292408,9603938186,7434319668,361567.23,1730928572
APP955338911,9026187999,9107736331,38857.12,1730928603
APP319691541,9026187999,9603938186,320905.87,1730928613
APP846406158,7727010831,6486015900,487740.29,1730928669
APP444018277,9001665370,7778335401,91197.73,1712297418
APP892958250,9350926848,9001665370,358854.12,1712297431
APP335151817,7526367035,7778335401,387191.31,1712297504
APP821328524,6423467495,6094849248,3268.17,1712297525
APP195433541,9001665370,6156950363,446352.3,1712297542
APP341566548,7142027043,9350926848,477127.28,1712297580
APP597633329,9350926848,7142027043,289237.89,1712297600
APP211501755,8761984664,9001665370,262076.9,1712297605
APP194488051,6349209137,7778335401,26060.22,1712297645
APP882174752,6349209137,9393681200,217197.94,1712297663
APP963633125,6739028316,6950034238,68211.54,1734485725
APP435767928,7974947035,6560177448,5489.2,1734485734
APP240519462,6950034238,8478790801,324401.93,1734485781
