web_txn_id,from_account,to_account,amount,timestamp_epoch,currency
WEB602537459,ACC00000052,ACC00000051,116751.4,1714122452,INR
WEB421822394,ACC00000054,ACC00000049,85234.51,1714122491,INR
WEB947448986,ACC00000053,ACC00000048,283926.92,1714122615,INR
WEB453322056,ACC00000048,ACC00000047,297870.46,1714122639,INR
WEB845863639,ACC00000047,ACC00000052,415490.0,1714122681,INR
WEB548999147,ACC00000053,ACC00000051,142364.38,1714122692,INR
WEB297208362,ACC00000055,ACC00000060,339271.55,1705405114,INR
WEB715036668,ACC00000058,ACC00000060,399628.15,1705405133,INR
WEB814051343,ACC00000057,ACC00000060,236918.31,1705405133,INR
WEB177464240,ACC00000055,ACC00000056,475383.18,1705405167,INR
WEB380823620,ACC00000055,ACC00000057,419658.82,1705405221,INR
WEB161747240,ACC00000056,ACC00000057,495133.96,1705405279,INR
WEB346531310,ACC00000060,ACC00000055,267318.85,1705405298,INR
WEB284508479,ACC00000057,ACC00000059,289615.43,1705405328,INR
WEB278846583,ACC00000061,ACC00000068,293143.95,1708966418,INR
WEB301852961,ACC00000067,ACC00000063,455745.28,1708966529,INR
WEB887056333,ACC00000062,ACC00000061,9676.91,1708966578,INR
WEB500630219,ACC00000063,ACC00000064,242031.34,1708966592,INR
WEB550005351,ACC00000082,ACC00000077,311676.89,1719832481,INR
WEB158596827,ACC00000084,ACC00000081,190988.58,1719832510,INR
WEB259822798,ACC00000085,ACC00000083,247929.29,1719832622,INR
WEB179480824,ACC00000089,ACC00000078,490790.95,1719832681,INR
WEB241828677,ACC00000091,ACC00000101,196470.57,1719078731,INR
WEB757368444,ACC00000091,ACC00000096,10303.67,1719078735,INR
WEB323766263,ACC00000099,ACC00000100,275428.45,1719078748,INR
WEB892584801,ACC00000092,ACC00000101,408843.77,1719078775,INR
WEB524589972,ACC00000096,ACC00000095,203997.06,1719078813,INR
WEB166736746,ACC00000097,ACC00000101,260188.65,1719078873,INR
WEB252785401,ACC00000101,ACC00000098,457164.3,1719078922,INR
WEB159866618,ACC00000096,ACC00000097,276846.81,1719078968,INR
WEB363020833,ACC00000098,ACC00000101,282152.72,1719079010,INR
WEB222367720,ACC00000110,ACC00000109,58201.85,1707729407,INR
WEB186935226,ACC00000107,ACC00000108,20431.57,1707729415,INR
WEB699522612,ACC00000107,ACC00000110,398567.86,1707729433,INR
WEB924284012,ACC00000109,ACC00000108,224499.6,1707729438,INR
WEB814205650,ACC00000109,ACC00000106,77957.7,1707729506,INR
WEB660493949,ACC00000109,ACC00000106,19204.46,1707729509,INR
WEB230942605,ACC00000110,ACC00000102,235343.99,1707729548,INR
WEB557219724,ACC00000107,ACC00000110,270413.81,1707729559,INR
WEB932303253,ACC00000104,ACC00000103,230381.23,1707729573,INR
WEB463450541,ACC00000103,ACC00000102,400811.9,1707729588,INR
WEB212402905,ACC00000115,ACC00000113,177333.41,1717330654,INR
WEB514628558,ACC00000112,ACC00000114,135817.64,1717330661,INR
WEB237901827,ACC00000113,ACC00000117,149765.45,1717330713,INR
WEB333545555,ACC00000114,ACC00000111,68390.15,1717330725,INR
WEB370886472,ACC00000116,ACC00000111,38265.66,1717330747,INR
WEB938974159,ACC00000111,ACC00000115,151722.53,1717330798,INR
WEB723543493,ACC00000115,ACC00000113,354953.1,1717330821,INR
WEB459465226,ACC00000130,ACC00000129,222066.93,1725675267,INR
WEB871330383,ACC00000132,ACC00000121,55495.17,1725675368,INR
WEB275658957,ACC00000127,ACC00000122,297659.95,1725675395,INR
WEB684233778,ACC00000138,ACC00000135,428053.98,1708888007,INR
WEB500103865,ACC00000133,ACC00000141,78417.2,1708888008,INR
WEB378060848,ACC00000138,ACC00000141,414580.83,1708888013,INR
WEB238441859,ACC00000137,ACC00000135,105582.58,1708888100,INR
WEB199288980,ACC00000147,ACC00000144,294028.13,1709820339,INR
WEB345320196,ACC00000151,ACC00000146,403816.62,1709820391,INR
WEB799252618,ACC00000143,ACC00000149,173919.41,1709820400,INR
WEB633237808,ACC00000143,ACC00000147,328644.8,1709820532,INR
WEB298057273,ACC00000149,ACC00000143,119900.05,1709820583,INR
WEB409788809,ACC00000160,ACC00000161,366326.35,1705195522,INR
WEB498803354,ACC00000165,ACC00000162,55993.35,1705195634,INR
WEB920642764,ACC00000154,ACC00000155,326544.01,1705195636,INR
WEB826549918,ACC00000166,ACC00000164,231943.52,1705195767,INR
WEB873489979,ACC00000169,ACC00000171,395164.84,1733670131,INR
WEB484907417,ACC00000174,ACC00000170,498740.91,1733670217,INR
WEB273248469,ACC00000178,ACC00000173,367226.12,1733670218,INR
WEB598912160,ACC00000171,ACC00000169,141939.16,1733670295,INR
WEB776284544,ACC00000179,ACC00000178,331378.7,1733670350,INR
WEB327629246,ACC00000172,ACC00000174,318888.9,1733670405,INR
WEB454536239,ACC00000182,ACC00000169,290879.7,1733670409,INR
WEB671198535,ACC00000174,ACC00000173,46134.09,1733670417,INR
WEB268259200,ACC00000194,ACC00000192,394831.31,1726972295,INR
WEB347044744,ACC00000190,ACC00000188,157023.39,1726972306,INR
WEB507761146,ACC00000191,ACC00000186,176318.21,1726972365,INR
WEB740437582,ACC00000188,ACC00000191,470570.17,1726972416,INR
WEB442583422,ACC00000186,ACC00000184,44419.29,1726972419,INR
WEB598303290,ACC00000192,ACC00000183,317579.51,1726972464,INR
WEB740974495,ACC00000187,ACC00000186,317157.79,1726972478,INR
WEB759976026,ACC00000193,ACC00000195,108919.49,1726972499,INR
WEB936449015,ACC00000197,ACC00000201,317651.56,1712232455,INR
WEB306974271,ACC00000205,ACC00000199,255291.68,1712232475,INR
WEB212400119,ACC00000204,ACC00000205,165952.53,1712232626,INR
WEB955838841,ACC00000198,ACC00000203,491385.75,1712232633,INR
WEB458931159,ACC00000204,ACC00000201,223715.7,1712232656,INR
WEB796140348,ACC00000197,ACC00000205,87436.4,1712232670,INR
WEB115639904,ACC00000204,ACC00000201,298335.73,1712232673,INR
WEB130796733,ACC00000199,ACC00000197,331471.55,1712232708,INR
WEB177375552,ACC00000216,ACC00000211,211551.65,1713893119,INR
WEB280263374,ACC00000219,ACC00000222,451532.61,1734207680,INR
WEB388375549,ACC00000220,ACC00000222,400212.91,1734207838,INR
WEB889386631,ACC00000218,ACC00000224,45736.26,1734207867,INR
WEB255656927,ACC00000220,ACC00000225,425226.79,1734207916,INR
WEB221336440,ACC00000222,ACC00000221,483471.65,1734207954,INR
WEB512819091,ACC00000235,ACC00000233,227446.62,1729096461,INR
WEB975267247,ACC00000233,ACC00000238,309076.82,1729096471,INR
WEB401493561,ACC00000229,ACC00000235,154125.83,1729096503,INR
WEB311086421,ACC00000227,ACC00000239,311965.68,1729096512,INR
WEB343436666,ACC00000228,ACC00000238,210295.45,1729096541,INR
WEB115854911,ACC00000227,ACC00000233,165496.23,1729096583,INR
WEB513827999,ACC00000246,ACC00000241,64628.02,1730551042,INR
WEB310390373,ACC00000242,ACC00000248,217220.12,1730551058,INR
WEB444289719,ACC00000244,ACC00000243,227803.28,1730551060,INR
WEB218880730,ACC00000245,ACC00000247,11378.01,1730551120,INR
WEB899998374,ACC00000247,ACC00000244,460836.49,1730551140,INR
WEB183124726,ACC00000244,ACC00000248,482619.15,1730551201,INR
WEB828354661,ACC00000244,ACC00000242,233848.85,1730551231,INR
WEB765110817,ACC00000242,ACC00000244,319577.51,1730551236,INR
WEB239488929,ACC00000245,ACC00000246,190059.3,1730551256,INR
WEB676894245,ACC00000242,ACC00000247,336329.38,1730551259,INR
WEB906056800,ACC00000246,ACC00000243,419660.68,1730551266,INR
WEB916535985,ACC00000258,ACC00000255,346020.82,1720695499,INR
WEB474731825,ACC00000250,ACC00000254,66430.42,1720695593,INR
WEB280764555,ACC00000254,ACC00000253,191490.43,1720695608,INR
WEB849721964,ACC00000259,ACC00000260,403562.2,1720695646,INR
WEB908886133,ACC00000254,ACC00000250,155613.47,1720695722,INR
WEB427487133,ACC00000271,ACC00000275,481523.62,1722738573,INR
WEB934121955,ACC00000265,ACC00000274,316360.8,1722738574,INR
WEB103164542,ACC00000269,ACC00000264,346276.53,1722738578,INR
WEB947814377,ACC00000275,ACC00000273,439768.77,1722738712,INR
WEB979316882,ACC00000267,ACC00000264,362483.89,1722738746,INR
WEB374174578,ACC00000266,ACC00000272,360335.98,1722738747,INR
WEB840114669,ACC00000263,ACC00000274,422802.56,1722738770,INR
WEB420261766,ACC00000273,ACC00000272,393036.51,1722738792,INR
WEB254880549,ACC00000287,ACC00000280,455099.53,1727045238,INR
WEB732476581,ACC00000277,ACC00000289,465098.18,1727045352,INR
WEB598387841,ACC00000286,ACC00000278,417522.93,1727045387,INR
WEB371262765,ACC00000278,ACC00000282,399903.91,1727045397,INR
WEB476505955,ACC00000287,ACC00000279,463387.18,1727045403,INR
WEB670663355,ACC00000282,ACC00000286,330043.96,1727045453,INR
WEB615266073,ACC00000281,ACC00000286,486028.08,1727045499,INR
WEB284041427,ACC00000296,ACC00000294,426038.76,1718522424,INR
WEB798137648,ACC00000296,ACC00000293,408597.18,1718522473,INR
WEB134274057,ACC00000299,ACC00000297,459355.85,1718522504,INR
WEB966817684,ACC00000300,ACC00000302,409351.0,1718522538,INR
WEB944483399,ACC00000305,ACC00000309,81497.79,1710639206,INR
WEB452779900,ACC00000308,ACC00000307,162483.45,1710639254,INR
WEB711280551,ACC00000307,ACC00000309,57011.0,1710639273,INR
WEB136407769,ACC00000307,ACC00000305,402453.28,1710639277,INR
WEB454575694,ACC00000307,ACC00000306,102291.7,1710639338,INR
WEB708181377,ACC00000314,ACC00000310,336161.63,1714681035,INR
WEB784249782,ACC00000312,ACC00000311,60911.85,1714681059,INR
WEB940272877,ACC00000314,ACC00000315,400571.44,1714681184,INR
WEB872054409,ACC00000314,ACC00000312,486317.09,1714681192,INR
WEB176686877,ACC00000317,ACC00000327,203314.95,1732642512,INR
WEB843018201,ACC00000320,ACC00000331,36969.17,1732642528,INR
WEB775788332,ACC00000320,ACC00000318,166909.91,1732642590,INR
WEB664226910,ACC00000334,ACC00000335,489436.65,1711418617,INR
WEB855357216,ACC00000340,ACC00000333,420124.07,1711418639,INR
WEB288834018,ACC00000338,ACC00000341,427224.04,1711418650,INR
WEB231734626,ACC00000336,ACC00000333,336990.65,1711418682,INR
WEB284742245,ACC00000338,ACC00000341,378591.31,1711418833,INR
WEB580501590,ACC00000349,ACC00000343,320707.44,1711341441,INR
WEB366189736,ACC00000344,ACC00000349,350385.25,1711341474,INR
WEB723862206,ACC00000343,ACC00000345,77265.24,1711341518,INR
WEB234444929,ACC00000346,ACC00000345,342128.62,1711341527,INR
WEB929856694,ACC00000345,ACC00000347,406967.05,1711341544,INR
WEB946179261,ACC00000343,ACC00000344,259176.72,1711341554,INR
WEB849965178,ACC00000348,ACC00000347,249516.63,1711341583,INR
WEB812616391,ACC00000342,ACC00000343,87999.62,1711341610,INR
WEB231464070,ACC00000349,ACC00000345,84772.17,1711341691,INR
WEB289104129,ACC00000344,ACC00000343,108093.1,1711341693,INR
WEB203605560,ACC00000342,ACC00000348,287207.43,1711341700,INR
WEB737874221,ACC00000346,ACC00000345,6752.36,1711341718,INR
WEB348614513,ACC00000342,ACC00000348,411401.71,1711341719,INR
WEB726733300,ACC00000355,ACC00000354,9679.9,1713053143,INR
WEB660983373,ACC00000353,ACC00000350,119846.1,1713053181,INR
WEB228742043,ACC00000351,ACC00000355,291704.45,1713053256,INR
WEB600312736,ACC00000362,ACC00000364,30277.54,1733496767,INR
WEB298892203,ACC00000362,ACC00000367,249395.26,1733496777,INR
WEB607515684,ACC00000360,ACC00000363,90462.77,1733496790,INR
WEB444379007,ACC00000364,ACC00000366,346526.49,1733496829,INR
WEB754418053,ACC00000367,ACC00000356,458984.21,1733496849,INR
WEB302119120,ACC00000361,ACC00000365,297331.99,1733496854,INR
WEB379889898,ACC00000367,ACC00000356,357569.86,1733496861,INR
WEB677364647,ACC00000361,ACC00000356,405925.09,1733496898,INR
WEB225938461,ACC00000376,ACC00000378,374371.94,1714869521,INR
WEB987765293,ACC00000376,ACC00000368,153024.29,1714869558,INR
WEB232602528,ACC00000379,ACC00000369,287209.8,1714869605,INR
WEB389113711,ACC00000383,ACC00000389,459071.07,1713015138,INR
WEB520613340,ACC00000382,ACC00000384,444337.62,1713015148,INR
WEB939114264,ACC00000383,ACC00000381,154781.31,1713015182,INR
WEB858611851,ACC00000388,ACC00000383,379865.64,1713015271,INR
WEB897262061,ACC00000386,ACC00000391,314337.81,1713015289,INR
WEB699750621,ACC00000402,ACC00000401,298484.48,1712793254,INR
WEB523757871,ACC00000403,ACC00000394,315856.44,1712793265,INR
WEB302832939,ACC00000394,ACC00000405,405826.31,1712793272,INR
WEB666315752,ACC00000403,ACC00000405,307595.05,1712793276,INR
WEB656177093,ACC00000405,ACC00000400,304397.59,1712793304,INR
WEB106272534,ACC00000392,ACC00000394,424371.64,1712793322,INR
WEB749446266,ACC00000394,ACC00000400,58172.49,1712793357,INR
WEB645063516,ACC00000394,ACC00000401,463337.78,1712793378,INR
WEB120399474,ACC00000402,ACC00000395,281964.98,1712793381,INR
WEB303786535,ACC00000404,ACC00000403,132001.79,1712793438,INR
WEB332207692,ACC00000400,ACC00000403,482019.56,1712793441,INR
WEB492005297,ACC00000404,ACC00000396,482824.86,1712793468,INR
WEB949866436,ACC00000393,ACC00000403,239524.38,1712793471,INR
WEB824288543,ACC00000403,ACC00000404,25138.11,1712793506,INR
WEB364260846,ACC00000411,ACC00000416,109700.09,1730069829,INR
WEB254984433,ACC00000410,ACC00000411,386261.33,1730069855,INR
WEB175484764,ACC00000409,ACC00000411,284421.04,1730069856,INR
WEB321110125,ACC00000415,ACC00000416,292467.75,1730069865,INR
WEB220421768,ACC00000410,ACC00000409,333838.71,1730069875,INR
WEB467361987,ACC00000412,ACC00000417,226454.03,1730069895,INR
WEB368381664,ACC00000416,ACC00000411,399832.64,1730069913,INR
WEB550106959,ACC00000416,ACC00000415,143964.67,1730069919,INR
WEB219207911,ACC00000410,ACC00000407,327842.24,1730069932,INR
WEB744033076,ACC00000406,ACC00000414,228011.89,1730070032,INR
WEB276627272,ACC00000410,ACC00000406,63239.95,1730070032,INR
WEB801750573,ACC00000415,ACC00000414,96663.39,1730070041,INR
WEB713063333,ACC00000406,ACC00000409,312199.36,1730070041,INR
WEB960623341,ACC00000412,ACC00000417,129651.36,1730070082,INR
WEB883206058,ACC00000417,ACC00000408,271551.29,1730070097,INR
WEB988780603,ACC00000412,ACC00000410,348317.88,1730070105,INR
WEB127010582,ACC00000423,ACC00000421,445165.63,1713889573,INR
WEB325282373,ACC00000425,ACC00000424,15204.77,1713889650,INR
WEB520261917,ACC00000424,ACC00000420,228100.53,1713889683,INR
WEB778801616,ACC00000423,ACC00000424,218949.45,1713889694,INR
WEB168481986,ACC00000424,ACC00000419,499141.71,1713889698,INR
WEB993880114,ACC00000423,ACC00000425,318463.55,1713889713,INR
WEB299790139,ACC00000424,ACC00000423,273770.26,1713889719,INR
WEB682538260,ACC00000418,ACC00000421,278032.37,1713889822,INR
WEB275771167,ACC00000422,ACC00000419,251460.69,1713889847,INR
WEB109315800,ACC00000425,ACC00000423,42063.66,1713889854,INR
WEB127150772,ACC00000435,ACC00000426,179870.17,1731150750,INR
WEB190174231,ACC00000434,ACC00000433,342214.84,1731150772,INR
WEB354642792,ACC00000437,ACC00000435,450626.05,1731150824,INR
WEB766244078,ACC00000443,ACC00000448,118869.35,1724203286,INR
WEB643459206,ACC00000443,ACC00000440,170492.04,1724203290,INR
WEB563839274,ACC00000446,ACC00000448,104171.41,1724203334,INR
WEB981812778,ACC00000448,ACC00000440,461615.48,1724203499,INR
WEB409792088,ACC00000447,ACC00000446,21704.66,1724203500,INR
WEB377941544,ACC00000447,ACC00000440,398915.94,1724203510,INR
WEB571101179,ACC00000446,ACC00000445,252209.04,1724203526,INR
WEB151926742,ACC00000453,ACC00000450,370110.34,1731800479,INR
WEB392389326,ACC00000451,ACC00000450,86815.79,1731800489,INR
WEB573396039,ACC00000452,ACC00000454,354193.89,1731800494,INR
WEB347689209,ACC00000452,ACC00000449,67159.31,1731800524,INR
WEB694751298,ACC00000453,ACC00000452,358747.33,1731800525,INR
WEB647857436,ACC00000449,ACC00000451,159422.65,1731800592,INR
WEB569003392,ACC00000453,ACC00000451,20898.21,1731800631,INR
WEB688128544,ACC00000451,ACC00000453,203424.65,1731800677,INR
WEB768371146,ACC00000453,ACC00000449,482969.25,1731800693,INR
WEB418765749,ACC00000449,ACC00000453,386759.37,1731800752,INR
WEB744385786,ACC00000466,ACC00000465,404583.9,1732575176,INR
WEB796125130,ACC00000455,ACC00000465,137762.96,1732575198,INR
WEB662990051,ACC00000457,ACC00000466,133409.03,1732575215,INR
WEB227639431,ACC00000464,ACC00000457,393844.99,1732575236,INR
WEB713441966,ACC00000464,ACC00000466,318265.93,1732575293,INR
WEB440256902,ACC00000465,ACC00000461,456636.47,1732575342,INR
WEB736355281,ACC00000461,ACC00000465,270854.88,1732575387,INR
WEB532281552,ACC00000473,ACC00000467,279340.19,1716572308,INR
WEB566931243,ACC00000470,ACC00000469,111588.91,1716572345,INR
WEB601797893,ACC00000473,ACC00000474,305487.36,1716572416,INR
WEB536758970,ACC00000472,ACC00000473,416929.37,1716572470,INR
WEB198940679,ACC00000467,ACC00000474,29047.51,1716572483,INR
WEB698965260,ACC00000474,ACC00000468,22989.03,1716572526,INR
WEB266193165,ACC00000467,ACC00000473,83714.32,1716572544,INR
WEB800500737,ACC00000467,ACC00000470,168456.95,1716572555,INR
WEB916187980,ACC00000485,ACC00000476,78840.1,1730700091,INR
WEB777188081,ACC00000486,ACC00000484,110471.95,1730700109,INR
WEB149096318,ACC00000488,ACC00000475,207194.41,1730700147,INR
WEB842874856,ACC00000478,ACC00000488,137327.9,1730700150,INR
WEB316638315,ACC00000486,ACC00000485,348290.54,1730700211,INR
WEB752979298,ACC00000477,ACC00000482,102951.43,1730700217,INR
WEB800301911,ACC00000486,ACC00000480,252214.39,1730700257,INR
WEB931480097,ACC00000476,ACC00000475,289460.36,1730700281,INR
WEB688642401,ACC00000489,ACC00000478,425066.29,1730700288,INR
WEB575372947,ACC00000487,ACC00000486,419794.86,1730700299,INR
WEB715290940,ACC00000481,ACC00000486,53301.54,1730700341,INR
WEB670883703,ACC00000493,ACC00000499,23322.59,1704402392,INR
WEB780581628,ACC00000496,ACC00000500,100561.45,1704402464,INR
WEB853388528,ACC00000503,ACC00000496,293387.22,1704402620,INR
WEB749111176,ACC00000504,ACC00000509,3271.93,1704976029,INR
WEB272215958,ACC00000508,ACC00000509,449322.36,1704976114,INR
WEB697127483,ACC00000510,ACC00000505,315515.9,1704976136,INR
WEB393895447,ACC00000509,ACC00000507,180229.44,1704976229,INR
WEB287058984,ACC00000510,ACC00000509,167664.25,1704976307,INR
WEB604454396,ACC00000512,ACC00000521,277426.25,1731553182,INR
WEB353614798,ACC00000521,ACC00000517,393836.07,1731553200,INR
WEB291286570,ACC00000514,ACC00000520,146096.45,1731553239,INR
WEB756188287,ACC00000518,ACC00000513,358843.43,1731553354,INR
WEB844779360,ACC00000526,ACC00000529,317603.54,1711307265,INR
WEB944765651,ACC00000528,ACC00000527,210794.08,1711307267,INR
WEB948752286,ACC00000527,ACC00000524,390111.89,1711307291,INR
WEB926409552,ACC00000524,ACC00000528,305926.73,1711307316,INR
WEB315077810,ACC00000525,ACC00000524,244825.78,1711307332,INR
WEB353455586,ACC00000526,ACC00000529,424086.39,1711307341,INR
WEB911229699,ACC00000528,ACC00000527,280980.58,1711307390,INR
WEB714772474,ACC00000525,ACC00000529,339578.97,1711307438,INR
WEB609437686,ACC00000525,ACC00000528,381521.6,1711307450,INR
WEB914591368,ACC00000527,ACC00000526,166616.14,1711307459,INR
WEB606759315,ACC00000527,ACC00000524,7748.84,1711307515,INR
WEB641238686,ACC00000534,ACC00000531,383389.7,1712334005,INR
WEB114819786,ACC00000537,ACC00000535,176541.21,1712334015,INR
WEB199480978,ACC00000534,ACC00000530,470672.88,1712334056,INR
WEB437925810,ACC00000531,ACC00000537,302597.99,1712334070,INR
WEB108139664,ACC00000532,ACC00000531,243993.09,1712334170,INR
WEB271446859,ACC00000536,ACC00000531,395438.43,1712334188,INR
WEB550662628,ACC00000537,ACC00000534,157691.22,1712334226,INR
WEB283339619,ACC00000543,ACC00000539,213048.34,1716915250,INR
WEB999332862,ACC00000541,ACC00000548,24731.77,1716915303,INR
WEB614361866,ACC00000538,ACC00000549,314467.15,1716915330,INR
WEB220360323,ACC00000550,ACC00000542,345303.94,1716915383,INR
WEB868253508,ACC00000541,ACC00000540,113631.83,1716915430,INR
WEB422878243,ACC00000538,ACC00000540,160815.68,1716915453,INR
WEB673068939,ACC00000556,ACC00000553,496353.45,1731148813,INR
WEB504048652,ACC00000561,ACC00000560,314389.61,1731148955,INR
WEB399280249,ACC00000564,ACC00000561,260313.88,1731149009,INR
WEB740414024,ACC00000551,ACC00000564,320355.06,1731149035,INR
WEB439884999,ACC00000570,ACC00000576,462105.1,1731729781,INR
WEB393861874,ACC00000566,ACC00000567,368842.87,1731729805,INR
WEB916620773,ACC00000576,ACC00000565,445084.62,1731729831,INR
WEB565080522,ACC00000578,ACC00000579,272671.78,1731729837,INR
WEB594023075,ACC00000568,ACC00000578,429243.15,1731729846,INR
WEB612910599,ACC00000571,ACC00000575,215609.54,1731729873,INR
WEB935833886,ACC00000568,ACC00000575,171332.69,1731729956,INR
WEB319727058,ACC00000567,ACC00000565,241210.89,1731729966,INR
WEB468448026,ACC00000576,ACC00000572,214407.78,1731730021,INR
WEB878856287,ACC00000566,ACC00000567,415441.82,1731730041,INR
WEB840117764,ACC00000584,ACC00000580,481083.4,1720041128,INR
WEB763230761,ACC00000588,ACC00000581,328482.04,1720041143,INR
WEB706304016,ACC00000589,ACC00000584,159303.08,1720041164,INR
WEB757178260,ACC00000584,ACC00000589,311213.22,1720041172,INR
WEB354503509,ACC00000580,ACC00000584,108367.47,1720041214,INR
WEB154901426,ACC00000585,ACC00000581,282326.28,1720041224,INR
WEB842731097,ACC00000590,ACC00000586,31008.28,1720041275,INR
WEB719657387,ACC00000582,ACC00000589,438499.73,1720041303,INR
WEB214664759,ACC00000587,ACC00000580,285690.12,1720041420,INR
WEB467358306,ACC00000596,ACC00000602,196342.44,1710909432,INR
WEB557088865,ACC00000592,ACC00000593,215355.13,1710909597,INR
WEB512478084,ACC00000608,ACC00000612,388944.94,1730009432,INR
WEB875600058,ACC00000609,ACC00000610,463958.27,1730009562,INR
WEB987255372,ACC00000612,ACC00000603,365836.03,1730009624,INR
WEB111788010,ACC00000617,ACC00000614,134910.37,1730009628,INR
WEB665996065,ACC00000615,ACC00000609,329035.35,1730009650,INR
WEB263139727,ACC00000624,ACC00000623,216477.03,1735020021,INR
WEB220589902,ACC00000624,ACC00000623,23526.4,1735020030,INR
WEB903515250,ACC00000623,ACC00000619,4404.04,1735020185,INR
WEB994183309,ACC00000620,ACC00000622,101425.78,1735020203,INR
WEB343894804,ACC00000618,ACC00000619,39810.95,1735020236,INR
WEB954239265,ACC00000629,ACC00000632,325425.68,1729956722,INR
WEB564437899,ACC00000632,ACC00000625,64800.54,1729956726,INR
WEB347598532,ACC00000625,ACC00000633,481861.68,1729956763,INR
WEB871263821,ACC00000631,ACC00000626,18491.84,1729956766,INR
WEB656684908,ACC00000632,ACC00000629,116831.75,1729956786,INR
WEB588847160,ACC00000627,ACC00000634,210134.91,1729956788,INR
WEB132006980,ACC00000631,ACC00000626,311948.69,1729956830,INR
WEB330305482,ACC00000633,ACC00000630,121421.71,1729956880,INR
WEB659706914,ACC00000646,ACC00000641,464379.12,1724715286,INR
WEB787593759,ACC00000640,ACC00000641,9991.06,1724715307,INR
WEB153320436,ACC00000645,ACC00000644,284607.15,1724715406,INR
WEB605237916,ACC00000642,ACC00000643,225053.8,1724715429,INR
WEB471629147,ACC00000636,ACC00000639,60690.14,1724715437,INR
WEB400974110,ACC00000644,ACC00000638,206437.26,1724715499,INR
WEB802651714,ACC00000648,ACC00000656,359239.21,1721649980,INR
WEB498382151,ACC00000649,ACC00000650,495820.0,1721649991,INR
WEB873033975,ACC00000656,ACC00000652,467249.22,1721649999,INR
WEB301197326,ACC00000654,ACC00000651,346356.0,1721650015,INR
WEB890853305,ACC00000648,ACC00000656,111370.14,1721650018,INR
WEB159290393,ACC00000651,ACC00000653,291009.78,1721650072,INR
WEB257403788,ACC00000656,ACC00000648,327729.59,1721650116,INR
WEB657978041,ACC00000654,ACC00000650,2304.0,1721650139,INR
WEB384233118,ACC00000655,ACC00000652,284298.25,1721650183,INR
WEB347811667,ACC00000657,ACC00000666,392146.69,1729303458,INR
WEB403531988,ACC00000657,ACC00000663,439086.53,1729303481,INR
WEB333902082,ACC00000664,ACC00000665,284846.82,1729303494,INR
WEB369160188,ACC00000661,ACC00000660,47496.1,1729303501,INR
WEB136826459,ACC00000664,ACC00000665,152640.95,1729303514,INR
WEB994258486,ACC00000657,ACC00000665,193305.26,1729303541,INR
WEB763497413,ACC00000661,ACC00000665,351496.29,1729303562,INR
WEB252100954,ACC00000660,ACC00000663,311867.31,1729303589,INR
WEB280257847,ACC00000663,ACC00000657,166752.35,1729303602,INR
WEB540220942,ACC00000668,ACC00000673,305296.75,1710244082,INR
WEB754836559,ACC00000667,ACC00000675,68667.72,1710244129,INR
WEB226071265,ACC00000673,ACC00000670,367768.45,1710244144,INR
WEB852035576,ACC00000672,ACC00000668,264410.12,1710244174,INR
