transaction_id,debit_account_no,credit_account_no,transaction_amount,transaction_date
NB384328878,ACC00000047,ACC00000046,474093.15,2024-04-26 09:10:26
NB240299001,ACC00000050,ACC00000051,305845.54,2024-04-26 09:10:54
NB486374368,ACC00000058,ACC00000057,497401.15,2024-01-16 11:38:01
NB180257230,ACC00000058,ACC00000060,83127.88,2024-01-16 11:38:55
NB593783878,ACC00000059,ACC00000057,273118.58,2024-01-16 11:39:12
NB246192537,ACC00000058,ACC00000056,158806.82,2024-01-16 11:40:35
NB696212068,ACC00000056,ACC00000058,290361.94,2024-01-16 11:41:09
NB225807467,ACC00000058,ACC00000059,255169.05,2024-01-16 11:41:42
NB932782413,ACC00000059,ACC00000058,53616.8,2024-01-16 11:42:39
NB853572902,ACC00000059,ACC00000055,314679.79,2024-01-16 11:42:57
NB261273456,ACC00000068,ACC00000065,190133.94,2024-02-26 16:53:18
NB760334051,ACC00000068,ACC00000063,398044.89,2024-02-26 16:53:59
NB465170885,ACC00000067,ACC00000062,286202.71,2024-02-26 16:54:13
NB708541208,ACC00000067,ACC00000068,418139.02,2024-02-26 16:56:17
NB751202645,ACC00000070,ACC00000071,337729.09,2024-10-17 14:15:10
NB688385148,ACC00000076,ACC00000070,301918.82,2024-10-17 14:17:05
NB844781015,ACC00000070,ACC00000072,361438.51,2024-10-17 14:17:22
NB286997089,ACC00000084,ACC00000089,496828.57,2024-07-01 11:14:58
NB359593411,ACC00000081,ACC00000084,184326.69,2024-07-01 11:15:50
NB293002506,ACC00000088,ACC00000082,238323.1,2024-07-01 11:15:59
NB731604913,ACC00000090,ACC00000087,289098.21,2024-07-01 11:18:10
NB466487648,ACC00000088,ACC00000089,362368.21,2024-07-01 11:18:15
NB349774749,ACC00000099,ACC00000094,68841.53,2024-06-22 17:52:25
NB959686726,ACC00000092,ACC00000096,211047.75,2024-06-22 17:52:44
NB244540483,ACC00000095,ACC00000091,497198.25,2024-06-22 17:52:46
NB285090585,ACC00000092,ACC00000093,295128.03,2024-06-22 17:52:57
NB837765404,ACC00000091,ACC00000100,156905.81,2024-06-22 17:53:33
NB204193823,ACC00000092,ACC00000093,265755.21,2024-06-22 17:54:03
NB388006034,ACC00000095,ACC00000091,8631.43,2024-06-22 17:54:47
NB469978165,ACC00000095,ACC00000094,27150.04,2024-06-22 17:55:15
NB753121324,ACC00000092,ACC00000094,234310.59,2024-06-22 17:56:17
NB937300961,ACC00000110,ACC00000106,5802.2,2024-02-12 09:16:00
NB327502064,ACC00000109,ACC00000102,233518.02,2024-02-12 09:16:04
NB468895117,ACC00000107,ACC00000109,386092.51,2024-02-12 09:16:20
NB169174482,ACC00000110,ACC00000103,461911.26,2024-02-12 09:17:50
NB328325712,ACC00000105,ACC00000109,483181.96,2024-02-12 09:18:17
NB749584543,ACC00000106,ACC00000108,410865.0,2024-02-12 09:19:21
NB173144699,ACC00000107,ACC00000109,88817.7,2024-02-12 09:19:35
NB540255572,ACC00000106,ACC00000109,141629.55,2024-02-12 09:20:28
NB554586233,ACC00000103,ACC00000104,18814.98,2024-02-12 09:20:30
NB817009010,ACC00000118,ACC00000111,383407.76,2024-06-02 12:17:01
NB979344005,ACC00000114,ACC00000116,371270.01,2024-06-02 12:17:02
NB908452894,ACC00000118,ACC00000111,315545.52,2024-06-02 12:18:01
NB593327548,ACC00000116,ACC00000118,330076.49,2024-06-02 12:19:16
NB453388327,ACC00000112,ACC00000116,204055.59,2024-06-02 12:19:23
NB961113465,ACC00000119,ACC00000118,476860.43,2024-06-02 12:19:28
NB758904728,ACC00000115,ACC00000118,410837.89,2024-06-02 12:19:29
NB715159396,ACC00000117,ACC00000116,460758.08,2024-06-02 12:20:12
NB194579087,ACC00000111,ACC00000112,219350.83,2024-06-02 12:20:44
NB420747002,ACC00000116,ACC00000118,382469.53,2024-06-02 12:20:45
NB222978144,ACC00000115,ACC00000116,362553.45,2024-06-02 12:20:45
NB885329985,ACC00000112,ACC00000114,419835.03,2024-06-02 12:20:47
NB195560365,ACC00000124,ACC00000121,202336.9,2024-09-07 02:14:09
NB419729451,ACC00000123,ACC00000132,199287.25,2024-09-07 02:14:22
NB324089113,ACC00000127,ACC00000129,159151.27,2024-09-07 02:15:59
NB882208676,ACC00000126,ACC00000120,362695.08,2024-09-07 02:17:00
NB568274078,ACC00000132,ACC00000124,85767.88,2024-09-07 02:18:04
NB782590562,ACC00000137,ACC00000141,190850.53,2024-02-25 19:06:09
NB143228936,ACC00000134,ACC00000141,121380.09,2024-02-25 19:06:18
NB775093796,ACC00000135,ACC00000134,307331.28,2024-02-25 19:06:19
NB737378363,ACC00000139,ACC00000140,106130.97,2024-02-25 19:08:05
NB816175979,ACC00000134,ACC00000137,351906.91,2024-02-25 19:08:23
NB408330827,ACC00000134,ACC00000140,88289.65,2024-02-25 19:09:03
NB541633381,ACC00000137,ACC00000140,197716.09,2024-02-25 19:09:50
NB384667090,ACC00000134,ACC00000135,168909.38,2024-02-25 19:10:56
NB790385746,ACC00000149,ACC00000151,196208.26,2024-03-07 14:07:52
NB877726056,ACC00000153,ACC00000146,198817.3,2024-03-07 14:08:47
NB787536170,ACC00000150,ACC00000146,420739.89,2024-03-07 14:09:39
NB967174983,ACC00000168,ACC00000161,52838.43,2024-01-14 01:25:05
NB405194615,ACC00000154,ACC00000161,290650.55,2024-01-14 01:27:28
NB842368745,ACC00000164,ACC00000161,144687.38,2024-01-14 01:28:04
NB815449511,ACC00000162,ACC00000163,397948.24,2024-01-14 01:28:55
NB285645105,ACC00000172,ACC00000177,291575.96,2024-12-08 15:03:16
NB421856650,ACC00000176,ACC00000175,443875.77,2024-12-08 15:03:28
NB106493659,ACC00000177,ACC00000173,430251.38,2024-12-08 15:04:14
NB687277171,ACC00000174,ACC00000171,6379.01,2024-12-08 15:04:52
NB451903889,ACC00000174,ACC00000182,288460.66,2024-12-08 15:06:14
NB841677726,ACC00000177,ACC00000182,204570.52,2024-12-08 15:06:19
NB954232022,ACC00000175,ACC00000172,427835.95,2024-12-08 15:06:41
NB855956397,ACC00000185,ACC00000193,120556.46,2024-09-22 02:30:55
NB953340841,ACC00000193,ACC00000195,249273.24,2024-09-22 02:31:24
NB864752111,ACC00000186,ACC00000184,223221.99,2024-09-22 02:31:41
NB163925713,ACC00000187,ACC00000185,226835.1,2024-09-22 02:32:05
NB882848319,ACC00000193,ACC00000183,465985.73,2024-09-22 02:32:47
NB768914761,ACC00000186,ACC00000190,13117.68,2024-09-22 02:33:46
NB616700155,ACC00000191,ACC00000192,132544.73,2024-09-22 02:33:49
NB619134277,ACC00000186,ACC00000194,370960.14,2024-09-22 02:34:15
NB588163690,ACC00000187,ACC00000195,478151.86,2024-09-22 02:34:32
NB941164954,ACC00000206,ACC00000197,107285.17,2024-04-04 12:08:09
NB243707094,ACC00000200,ACC00000202,446672.21,2024-04-04 12:09:03
NB928282722,ACC00000203,ACC00000201,394385.32,2024-04-04 12:09:07
NB141852357,ACC00000203,ACC00000197,386857.94,2024-04-04 12:09:29
NB335920262,ACC00000205,ACC00000202,180605.61,2024-04-04 12:09:40
NB329096650,ACC00000199,ACC00000196,22420.04,2024-04-04 12:09:42
NB724618380,ACC00000203,ACC00000196,35062.9,2024-04-04 12:10:29
NB859742675,ACC00000198,ACC00000205,21874.47,2024-04-04 12:10:52
NB747516430,ACC00000207,ACC00000217,481223.27,2024-04-23 17:23:39
NB814392099,ACC00000215,ACC00000210,293617.06,2024-04-23 17:23:43
NB157672076,ACC00000210,ACC00000208,441222.3,2024-04-23 17:26:49
NB694114188,ACC00000214,ACC00000211,381601.77,2024-04-23 17:27:57
NB281966059,ACC00000225,ACC00000223,41086.97,2024-12-14 20:24:39
NB135370597,ACC00000225,ACC00000223,468797.07,2024-12-14 20:24:59
NB101080155,ACC00000227,ACC00000232,170785.88,2024-10-16 16:34:06
NB440076591,ACC00000233,ACC00000238,64934.06,2024-10-16 16:34:16
NB330502703,ACC00000237,ACC00000235,413305.49,2024-10-16 16:34:30
NB207854986,ACC00000234,ACC00000232,450364.69,2024-10-16 16:36:07
NB392113008,ACC00000234,ACC00000230,10653.19,2024-10-16 16:36:19
NB147822083,ACC00000247,ACC00000242,219593.54,2024-11-02 12:38:20
NB757373755,ACC00000243,ACC00000245,243161.02,2024-11-02 12:38:34
NB232929087,ACC00000248,ACC00000247,288990.01,2024-11-02 12:39:13
NB316631543,ACC00000247,ACC00000241,262054.83,2024-11-02 12:39:33
NB283881066,ACC00000245,ACC00000242,210487.77,2024-11-02 12:39:36
NB324275284,ACC00000244,ACC00000243,466730.09,2024-11-02 12:40:22
NB951376080,ACC00000246,ACC00000244,151700.55,2024-11-02 12:41:11
NB746692594,ACC00000242,ACC00000244,415957.15,2024-11-02 12:41:41
NB667077431,ACC00000256,ACC00000251,469692.14,2024-07-11 10:58:06
NB662041983,ACC00000250,ACC00000255,97960.86,2024-07-11 10:58:15
NB820565816,ACC00000251,ACC00000258,230891.43,2024-07-11 10:58:43
NB909138828,ACC00000255,ACC00000258,493379.51,2024-07-11 10:59:21
NB265947389,ACC00000262,ACC00000253,98995.31,2024-07-11 10:59:43
NB325207253,ACC00000254,ACC00000256,342500.48,2024-07-11 11:00:14
NB756236474,ACC00000256,ACC00000250,258423.97,2024-07-11 11:00:32
NB610865308,ACC00000260,ACC00000256,365131.45,2024-07-11 11:00:53
NB330905164,ACC00000258,ACC00000249,337981.96,2024-07-11 11:01:06
NB767674708,ACC00000262,ACC00000258,107258.83,2024-07-11 11:02:04
NB676706734,ACC00000251,ACC00000260,374894.85,2024-07-11 11:02:10
NB988660087,ACC00000257,ACC00000259,480205.63,2024-07-11 11:02:36
NB901641700,ACC00000263,ACC00000271,223780.77,2024-08-04 02:30:57
NB858343485,ACC00000265,ACC00000267,2888.91,2024-08-04 02:31:08
NB956065975,ACC00000273,ACC00000265,287102.18,2024-08-04 02:31:34
NB707972196,ACC00000269,ACC00000275,487678.17,2024-08-04 02:31:35
NB672159861,ACC00000272,ACC00000271,138925.4,2024-08-04 02:32:49
NB324726152,ACC00000265,ACC00000268,106777.8,2024-08-04 02:32:59
NB988232514,ACC00000280,ACC00000279,43001.63,2024-09-22 22:47:19
NB650387392,ACC00000277,ACC00000287,358072.37,2024-09-22 22:47:46
NB701392353,ACC00000278,ACC00000286,481944.22,2024-09-22 22:48:27
NB581674863,ACC00000286,ACC00000284,369650.82,2024-09-22 22:49:28
NB898106411,ACC00000287,ACC00000289,52936.7,2024-09-22 22:49:38
NB252195153,ACC00000287,ACC00000285,454890.79,2024-09-22 22:49:41
NB796538174,ACC00000300,ACC00000298,236063.17,2024-06-16 07:20:42
NB436205418,ACC00000296,ACC00000301,295958.78,2024-06-16 07:20:45
NB543258951,ACC00000290,ACC00000302,88125.31,2024-06-16 07:22:08
NB110869345,ACC00000298,ACC00000297,422657.89,2024-06-16 07:22:55
NB129972259,ACC00000308,ACC00000304,81944.3,2024-03-17 01:33:26
NB409086788,ACC00000309,ACC00000307,311445.22,2024-03-17 01:34:12
NB742009277,ACC00000304,ACC00000305,335915.57,2024-03-17 01:34:45
NB332593533,ACC00000308,ACC00000305,326006.9,2024-03-17 01:35:31
NB868338103,ACC00000306,ACC00000304,170130.7,2024-03-17 01:35:32
NB162777557,ACC00000309,ACC00000304,145564.49,2024-03-17 01:35:50
NB521373784,ACC00000308,ACC00000309,43487.32,2024-03-17 01:35:53
NB974922834,ACC00000304,ACC00000306,32644.75,2024-03-17 01:36:25
NB372740968,ACC00000306,ACC00000307,251527.66,2024-03-17 01:36:26
NB787265174,ACC00000308,ACC00000306,474782.33,2024-03-17 01:36:51
NB122825569,ACC00000306,ACC00000308,302056.93,2024-03-17 01:36:59
NB510526069,ACC00000307,ACC00000306,87771.33,2024-03-17 01:37:54
NB793348945,ACC00000310,ACC00000313,362109.22,2024-05-02 20:17:49
NB442056877,ACC00000313,ACC00000311,164832.43,2024-05-02 20:18:00
NB563598149,ACC00000310,ACC00000316,27846.39,2024-05-02 20:18:58
NB762400249,ACC00000316,ACC00000314,76820.69,2024-05-02 20:20:19
NB918559740,ACC00000314,ACC00000315,175107.01,2024-05-02 20:21:14
NB879592262,ACC00000324,ACC00000325,364035.42,2024-11-26 17:33:06
NB897479692,ACC00000323,ACC00000325,316403.66,2024-11-26 17:34:05
NB978601488,ACC00000329,ACC00000331,21006.09,2024-11-26 17:34:05
NB994391012,ACC00000327,ACC00000325,264775.85,2024-11-26 17:35:25
NB469113924,ACC00000317,ACC00000325,152755.72,2024-11-26 17:35:31
NB750760293,ACC00000327,ACC00000326,492157.16,2024-11-26 17:36:42
NB733265761,ACC00000333,ACC00000335,79913.74,2024-03-26 02:03:39
NB635258423,ACC00000335,ACC00000338,44110.05,2024-03-26 02:04:14
NB295025791,ACC00000335,ACC00000338,409740.99,2024-03-26 02:06:44
NB865272727,ACC00000339,ACC00000337,28790.42,2024-03-26 02:06:56
NB151782886,ACC00000335,ACC00000341,431082.47,2024-03-26 02:07:15
NB935480509,ACC00000343,ACC00000348,315345.46,2024-03-25 04:37:49
NB988921018,ACC00000349,ACC00000348,59915.56,2024-03-25 04:38:07
NB340191391,ACC00000349,ACC00000348,201858.94,2024-03-25 04:38:12
NB474953472,ACC00000343,ACC00000346,176454.43,2024-03-25 04:38:28
NB581249838,ACC00000342,ACC00000347,71158.09,2024-03-25 04:38:58
NB885038691,ACC00000348,ACC00000346,479382.79,2024-03-25 04:39:36
NB500555448,ACC00000345,ACC00000348,475701.7,2024-03-25 04:39:45
NB721651478,ACC00000343,ACC00000346,498748.99,2024-03-25 04:39:50
NB379340779,ACC00000345,ACC00000348,392718.3,2024-03-25 04:40:37
NB409016868,ACC00000342,ACC00000348,4764.33,2024-03-25 04:40:53
NB922301378,ACC00000342,ACC00000348,71966.46,2024-03-25 04:41:28
NB137026859,ACC00000352,ACC00000355,175450.91,2024-04-14 00:06:12
NB736860940,ACC00000350,ACC00000351,75828.74,2024-04-14 00:06:25
NB318942209,ACC00000353,ACC00000355,481421.53,2024-04-14 00:08:13
NB805697539,ACC00000355,ACC00000351,129588.47,2024-04-14 00:08:17
NB865106716,ACC00000350,ACC00000352,77475.65,2024-04-14 00:09:08
NB448120576,ACC00000357,ACC00000366,64296.04,2024-12-06 14:51:35
NB994120644,ACC00000363,ACC00000362,398580.99,2024-12-06 14:52:39
NB629459336,ACC00000367,ACC00000358,337396.23,2024-12-06 14:54:35
NB572110173,ACC00000378,ACC00000369,220739.15,2024-05-05 00:40:26
NB997940917,ACC00000376,ACC00000369,494434.6,2024-05-05 00:41:05
NB819578953,ACC00000370,ACC00000377,353521.24,2024-05-05 00:41:11
NB788705952,ACC00000381,ACC00000391,274524.53,2024-04-13 13:30:36
NB484812354,ACC00000383,ACC00000390,332919.44,2024-04-13 13:31:43
NB590122046,ACC00000381,ACC00000383,470356.97,2024-04-13 13:31:47
NB900405988,ACC00000391,ACC00000382,439020.15,2024-04-13 13:32:19
NB903629279,ACC00000382,ACC00000391,185134.25,2024-04-13 13:32:29
NB712283091,ACC00000387,ACC00000386,57606.6,2024-04-13 13:33:00
NB502369219,ACC00000383,ACC00000382,332980.71,2024-04-13 13:33:43
NB921753269,ACC00000388,ACC00000387,450183.98,2024-04-13 13:34:04
NB400200496,ACC00000388,ACC00000391,349002.2,2024-04-13 13:34:47
NB544677710,ACC00000398,ACC00000394,21769.65,2024-04-10 23:54:00
NB675585327,ACC00000401,ACC00000396,485001.74,2024-04-10 23:54:17
NB745074102,ACC00000398,ACC00000397,71218.35,2024-04-10 23:55:51
NB136824778,ACC00000395,ACC00000400,366954.85,2024-04-10 23:56:58
NB368731882,ACC00000399,ACC00000394,116400.93,2024-04-10 23:57:16
NB560680362,ACC00000397,ACC00000396,293859.42,2024-04-10 23:57:34
NB839956724,ACC00000399,ACC00000405,304631.87,2024-04-10 23:58:01
NB999151069,ACC00000394,ACC00000402,462959.89,2024-04-10 23:58:06
NB949356429,ACC00000399,ACC00000402,103275.44,2024-04-10 23:58:08
NB814997627,ACC00000393,ACC00000404,493609.92,2024-04-10 23:58:55
NB883236313,ACC00000416,ACC00000417,250020.93,2024-10-27 22:58:16
NB447343368,ACC00000407,ACC00000415,464350.51,2024-10-27 22:59:03
NB655730600,ACC00000409,ACC00000411,362947.56,2024-10-27 23:00:17
NB357557755,ACC00000406,ACC00000411,211636.74,2024-10-27 23:00:30
NB424026691,ACC00000407,ACC00000416,39618.05,2024-10-27 23:00:47
NB961797992,ACC00000418,ACC00000420,159495.66,2024-04-23 16:27:37
NB313239466,ACC00000421,ACC00000419,17699.54,2024-04-23 16:28:07
NB678040113,ACC00000420,ACC00000424,413230.49,2024-04-23 16:28:37
NB533441644,ACC00000423,ACC00000422,208981.41,2024-04-23 16:28:53
NB732281763,ACC00000435,ACC00000432,329721.83,2024-11-09 11:10:06
NB862674005,ACC00000437,ACC00000431,340902.61,2024-11-09 11:11:15
NB417627287,ACC00000434,ACC00000432,488456.48,2024-11-09 11:11:17
NB941346881,ACC00000434,ACC00000438,138019.92,2024-11-09 11:11:26
NB472891300,ACC00000428,ACC00000438,462654.6,2024-11-09 11:14:48
NB264638455,ACC00000441,ACC00000447,41155.71,2024-08-21 01:21:06
NB289366379,ACC00000442,ACC00000443,491195.36,2024-08-21 01:21:22
NB913626200,ACC00000444,ACC00000443,62840.16,2024-08-21 01:21:47
NB470758328,ACC00000448,ACC00000447,276192.73,2024-08-21 01:22:05
NB220886158,ACC00000446,ACC00000442,435683.71,2024-08-21 01:22:21
NB883226159,ACC00000441,ACC00000445,459400.51,2024-08-21 01:23:21
NB340374193,ACC00000453,ACC00000450,229960.61,2024-11-16 23:41:04
NB832645629,ACC00000452,ACC00000454,441046.13,2024-11-16 23:42:48
NB256020811,ACC00000449,ACC00000453,363133.77,2024-11-16 23:44:18
NB583979157,ACC00000453,ACC00000450,285064.59,2024-11-16 23:45:14
NB391191996,ACC00000458,ACC00000461,428442.31,2024-11-25 22:54:05
NB450769787,ACC00000462,ACC00000455,137122.14,2024-11-25 22:54:11
NB124198007,ACC00000461,ACC00000459,334636.9,2024-11-25 22:54:20
NB870226101,ACC00000463,ACC00000464,208195.03,2024-11-25 22:54:45
NB542313860,ACC00000456,ACC00000459,119999.0,2024-11-25 22:54:48
NB720652862,ACC00000465,ACC00000463,208479.44,2024-11-25 22:54:49
NB757123696,ACC00000463,ACC00000460,304531.44,2024-11-25 22:55:08
NB165294059,ACC00000457,ACC00000456,167701.3,2024-11-25 22:55:50
NB120045540,ACC00000457,ACC00000463,70343.05,2024-11-25 22:55:52
NB697096730,ACC00000473,ACC00000469,69837.71,2024-05-24 17:38:16
NB222191017,ACC00000471,ACC00000474,390103.96,2024-05-24 17:38:24
NB601148950,ACC00000472,ACC00000470,185488.24,2024-05-24 17:38:44
NB209249536,ACC00000471,ACC00000468,121832.65,2024-05-24 17:39:16
NB595219286,ACC00000472,ACC00000468,288613.18,2024-05-24 17:39:33
NB479201375,ACC00000469,ACC00000470,168784.77,2024-05-24 17:39:43
NB414322793,ACC00000470,ACC00000469,97482.98,2024-05-24 17:40:06
NB906266694,ACC00000469,ACC00000471,306299.9,2024-05-24 17:40:07
NB515341843,ACC00000470,ACC00000471,345901.88,2024-05-24 17:40:57
NB268591948,ACC00000468,ACC00000467,271451.6,2024-05-24 17:41:30
NB238090005,ACC00000472,ACC00000470,93012.04,2024-05-24 17:41:36
NB713990909,ACC00000469,ACC00000473,299463.23,2024-05-24 17:42:35
NB949567835,ACC00000477,ACC00000489,394576.5,2024-11-04 06:01:01
NB627973102,ACC00000476,ACC00000486,156693.82,2024-11-04 06:02:13
NB765133731,ACC00000477,ACC00000480,187228.1,2024-11-04 06:02:18
NB918467661,ACC00000487,ACC00000481,367848.67,2024-11-04 06:02:41
NB318472350,ACC00000482,ACC00000486,305465.02,2024-11-04 06:05:53
NB913977254,ACC00000500,ACC00000502,358687.06,2024-01-04 21:07:24
NB583668720,ACC00000497,ACC00000502,377482.53,2024-01-04 21:08:32
NB996307313,ACC00000501,ACC00000499,418863.99,2024-01-04 21:09:29
NB908391440,ACC00000497,ACC00000493,285744.58,2024-01-04 21:09:48
NB226706496,ACC00000506,ACC00000504,355264.36,2024-01-11 12:27:27
NB948260502,ACC00000504,ACC00000507,254299.42,2024-01-11 12:28:14
NB865497552,ACC00000505,ACC00000509,185303.4,2024-01-11 12:28:36
NB545683569,ACC00000506,ACC00000508,87396.22,2024-01-11 12:29:47
NB988903004,ACC00000505,ACC00000508,86296.2,2024-01-11 12:29:56
NB222788467,ACC00000510,ACC00000507,492536.06,2024-01-11 12:30:23
NB172674798,ACC00000518,ACC00000522,455906.78,2024-11-14 02:59:39
NB952483846,ACC00000514,ACC00000522,40252.18,2024-11-14 03:00:16
NB766051436,ACC00000513,ACC00000521,468469.85,2024-11-14 03:01:01
NB172498177,ACC00000516,ACC00000520,56212.22,2024-11-14 03:02:04
NB781977428,ACC00000518,ACC00000512,383348.92,2024-11-14 03:03:22
NB412887575,ACC00000526,ACC00000529,486757.64,2024-03-24 19:07:28
NB394364083,ACC00000529,ACC00000525,319509.05,2024-03-24 19:08:08
NB919774837,ACC00000525,ACC00000527,151203.97,2024-03-24 19:08:51
NB510069699,ACC00000529,ACC00000527,348690.68,2024-03-24 19:09:55
NB190252116,ACC00000527,ACC00000525,182841.78,2024-03-24 19:10:44
NB145277660,ACC00000526,ACC00000527,171129.25,2024-03-24 19:10:58
NB341462171,ACC00000529,ACC00000524,152810.74,2024-03-24 19:11:06
NB779044697,ACC00000528,ACC00000524,330605.71,2024-03-24 19:11:15
NB367126410,ACC00000524,ACC00000528,320906.8,2024-03-24 19:11:25
NB100992716,ACC00000526,ACC00000528,113027.15,2024-03-24 19:12:00
NB784831212,ACC00000534,ACC00000531,219366.6,2024-04-05 16:19:32
NB887604065,ACC00000534,ACC00000530,398456.01,2024-04-05 16:22:35
NB354741861,ACC00000533,ACC00000536,12723.88,2024-04-05 16:23:59
NB961594146,ACC00000543,ACC00000548,236352.47,2024-05-28 16:53:32
NB317244122,ACC00000546,ACC00000540,26527.76,2024-05-28 16:55:10
NB590780935,ACC00000538,ACC00000550,188694.63,2024-05-28 16:56:14
NB836110931,ACC00000546,ACC00000541,374525.58,2024-05-28 16:57:24
NB963048231,ACC00000559,ACC00000552,126715.7,2024-11-09 10:39:44
NB269529049,ACC00000562,ACC00000561,354230.85,2024-11-09 10:39:45
NB616256789,ACC00000551,ACC00000560,297151.61,2024-11-09 10:41:55
NB170659454,ACC00000557,ACC00000551,281696.52,2024-11-09 10:43:03
NB809579225,ACC00000566,ACC00000579,72799.4,2024-11-16 04:03:27
NB642520601,ACC00000567,ACC00000572,89197.76,2024-11-16 04:04:31
NB265865982,ACC00000566,ACC00000569,335207.15,2024-11-16 04:04:40
NB291752059,ACC00000569,ACC00000566,441178.57,2024-11-16 04:04:49
NB791392307,ACC00000572,ACC00000569,252617.1,2024-11-16 04:05:03
NB994726970,ACC00000575,ACC00000569,354847.44,2024-11-16 04:05:53
NB456208493,ACC00000577,ACC00000567,235762.05,2024-11-16 04:06:13
NB687956764,ACC00000584,ACC00000587,203967.67,2024-07-03 21:12:47
NB493475328,ACC00000589,ACC00000581,38307.17,2024-07-03 21:13:47
NB575651256,ACC00000583,ACC00000580,109737.0,2024-07-03 21:14:19
NB693697925,ACC00000587,ACC00000588,421860.87,2024-07-03 21:14:24
NB228153719,ACC00000584,ACC00000585,55311.62,2024-07-03 21:15:01
NB212207327,ACC00000582,ACC00000587,8787.78,2024-07-03 21:15:02
NB437235590,ACC00000584,ACC00000590,431965.76,2024-07-03 21:15:09
NB679517110,ACC00000588,ACC00000581,341674.05,2024-07-03 21:15:14
NB245881048,ACC00000585,ACC00000581,480429.54,2024-07-03 21:15:37
NB580876630,ACC00000581,ACC00000586,76258.66,2024-07-03 21:16:20
NB929510541,ACC00000595,ACC00000598,236978.9,2024-03-20 04:37:57
NB281204526,ACC00000596,ACC00000595,70445.48,2024-03-20 04:39:32
NB737985233,ACC00000599,ACC00000596,135127.06,2024-03-20 04:40:52
NB723378180,ACC00000603,ACC00000614,419485.61,2024-10-27 06:10:02
NB934715024,ACC00000608,ACC00000617,221253.59,2024-10-27 06:11:44
NB731881981,ACC00000606,ACC00000612,381409.69,2024-10-27 06:12:51
NB428105937,ACC00000623,ACC00000624,290610.29,2024-12-24 06:00:52
NB342341435,ACC00000618,ACC00000621,338956.32,2024-12-24 06:02:37
NB434051662,ACC00000618,ACC00000622,339870.76,2024-12-24 06:03:02
NB671378069,ACC00000622,ACC00000619,249388.56,2024-12-24 06:03:35
NB782861333,ACC00000626,ACC00000628,114590.09,2024-10-26 15:33:02
NB564625741,ACC00000633,ACC00000627,408990.97,2024-10-26 15:33:04
NB664239417,ACC00000629,ACC00000627,14951.93,2024-10-26 15:33:57
NB158973278,ACC00000628,ACC00000630,159360.91,2024-10-26 15:34:12
NB515503549,ACC00000626,ACC00000625,421605.42,2024-10-26 15:34:19
NB710805031,ACC00000633,ACC00000625,121191.89,2024-10-26 15:35:07
NB209731926,ACC00000633,ACC00000627,350733.02,2024-10-26 15:35:20
NB119275412,ACC00000635,ACC00000647,354475.97,2024-08-26 23:34:15
NB356896418,ACC00000637,ACC00000640,276477.02,2024-08-26 23:34:33
NB770273021,ACC00000636,ACC00000640,91764.65,2024-08-26 23:37:51
NB854763211,ACC00000647,ACC00000639,288492.84,2024-08-26 23:38:36
NB581387511,ACC00000642,ACC00000646,284590.51,2024-08-26 23:38:53
NB834908546,ACC00000650,ACC00000654,49962.66,2024-07-22 12:05:12
